tam_1,tam_2,tam_3,tam_4,tam_5,tam_6,tam_7,tam_8,tam_9,tam_10
19.3,-18,1.7,100.7,4.4,-0.9,-1.7,2.4,13435078499.9063,26060772552.4075
21.25,-19,1.7,100.7,5.2,-1.2,-0.3,2.4,13431435474.7382,26054398299.2277
23.2,-18,2.3,100.7,4.7,0.4,-2.4,2.6,13427792449.5701,26048024046.0478
19.9,-20,2.3,100.7,4.8,1.1,-2.1,2.6,13424149424.402,26041649792.868
16.6,-13,2.3,100.7,4.8,-0.9,-1.1,2.7,13420506399.2339,26035275539.6882
13.5,-10,2.3,100.7,3.1,-4.1,-1.2,3,13416863374.0658,26028901286.5083
10.4,-9,2.3,100.7,4.4,0.1,-2.9,2.7,13413220348.8977,26022527033.3285
9.35,-7,2.3,100.7,4.8,-0.3,-1.8,2.4,13409577323.7296,26016152780.1486
8.3,-6,3,100.7,3.1,-3,3,2.8,13405934298.5615,26009778526.9688
8.1,-9,3,100.7,4.1,-2.4,1.4,2.7,13402291273.3934,26003404273.789
7.9,-8,3,100.7,4.4,-1,0.5,2.7,13398648248.2253,25997030020.6091
8.25,-7,1,100.7,4.7,-0.8,-1.6,2.8,13395005223.0572,25990655767.4293
8.6,-6,1,100.7,4.5,0.6,1.8,2.7,13391362197.8891,25984281514.2494
8.6,-5,1,100.7,5.2,0.6,-0.8,2.3,13387719172.721,25977907261.0696
8.6,-5,1.3,99.9,5,-1.1,-0.5,2.5,13384076147.5529,25971533007.8898
8.45,-5,1.3,99.9,4.3,-1.9,1.7,2.7,13383658511.1477,25973690224.2022
8.3,-6,1.3,99.9,2.2,-2.2,-2.7,2.7,13384262212.4612,25978548978.9121
8.25,-5,2,99.9,3.6,-1.6,-1.4,2.6,13384865913.7748,25983407733.622
8.2,-3,2,99.9,2.1,-0.9,1.6,2.8,13385469615.0884,25988266488.3319
10.25,-4,2,99.9,4.7,-1.2,0.3,2.4,13386073316.4019,25993125243.0418
12.3,-2,2.3,99.9,3.1,-3.2,1.1,2.8,13386677017.7155,25997983997.7517
14.95,-5,2.3,99.9,3.3,-2,-2.2,2.6,13387280719.0291,26002842752.4616
17.6,-5,2.3,99.9,-0.1,-4,-3,2.6,13387884420.3427,26007701507.1716
17.25,-6,2,99.9,2.2,-0.8,1,2.7,13388488121.6562,26012560261.8815
16.9,-8,2,99.9,2.8,1.3,2.2,2.9,13389091822.9698,26017419016.5914
19.5,-9,2,99.9,0.3,-3.2,-1.1,2.8,13389695524.2834,26022277771.3013
22.1,-12,1.7,99.9,3,-1.4,-0.5,2.8,13390299225.5969,26027136526.0112
18.5,-12,1.7,99.9,4.1,-0.7,0.9,2.3,13390902926.9105,26031995280.7211
14.9,-14,1.7,99.9,2.8,-2.4,-2,2.6,13391506628.2241,26036854035.431
12.75,-14,1.7,99.9,0.5,-2.4,-3,2.5,13392110329.5376,26041712790.1409
10.6,-14,1.7,99.9,1.9,-2.3,-2.1,2.7,13392714030.8512,26046571544.8508
9.25,-16,1.7,99.9,1.1,-1.5,-3,3,13393317732.1648,26051430299.5608
7.9,-14,1.7,99.9,-1.7,-2.1,2.5,2.8,13393921433.4784,26056289054.2707
7.75,-13,1.7,99.9,-2.7,-2.9,-0.2,2.7,13394525134.7919,26061147808.9806
7.6,-15,1.7,99.9,0.6,-3.2,-2.1,2.7,13395128836.1055,26066006563.6905
8.05,-18,2.7,99.9,0.9,-3.2,-1.1,2.7,13395732537.4191,26070865318.4004
8.5,-16,2.7,99.9,1.5,-1.5,-0.6,2.8,13396336238.7326,26075724073.1103
8.15,-13,2.7,99.9,-0.1,-3.4,1,2.6,13396939940.0462,26080582827.8202
7.8,-13,2,100.1,0.9,-2.9,-1.4,2.7,13397543641.3598,26085441582.5301
8.05,-15,2,100.1,1.2,-1.5,-3.4,2.7,13402006830.1518,26094095037.1589
8.3,-18,2,100.1,0.9,-0.8,2.2,2.7,13407819016.5914,26104074844.3908
8.3,-16,2,100.1,2.5,-0.5,2,2.5,13413631203.031,26114054651.6227
8.3,-9,2,100.1,3,-0.8,1.4,2.3,13419443389.4706,26124034458.8546
10.6,-7,2,100.1,3.4,-0.5,1.2,2.3,13425255575.9102,26134014266.0866
12.9,-9,1,100.1,3.4,-0.3,1,2.3,13431067762.3499,26143994073.3185
15,-10,1,100.1,3.4,-0.6,-0.6,2,13436879948.7895,26153973880.5504
17.1,-12,1,100.1,3.3,-1,-0.2,2.2,13442692135.2291,26163953687.7823
17.8,-12,0.7,100.1,3.1,-1,-0.7,2.5,13448504321.6687,26173933495.0143
18.5,-14,0.7,100.1,1.3,-2.8,-1.4,2.9,13454316508.1083,26183913302.2462
19.25,-15,0.7,100.1,2.3,-2.4,-1.3,2.8,13460128694.548,26193893109.4781
20,-14,0.7,100.1,2,-2.5,0.4,2.6,13465940880.9876,26203872916.71
18.3,-14,0.7,100.1,2.7,-2,-0.4,2.4,13471753067.4272,26213852723.942
16.6,-11,0.7,100.1,1.9,-2,-1.3,2.8,13477565253.8668,26223832531.1739
13.4,-11,1,100.1,2,2,2.1,2.8,13483377440.3064,26233812338.4058
10.2,-10,1,100.1,2.1,-0.6,0.6,2.7,13489189626.746,26243792145.6377
9.35,-6,1,100.1,0.1,-3,-1.8,3,13495001813.1857,26253771952.8697
8.5,-6,1,100.1,3.5,-1.3,0.7,2.4,13500813999.6253,26263751760.1016
8.85,-8,1,100.1,3.7,-0.2,-0.7,2,13506626186.0649,26273731567.3335
9.2,-11,1,100.1,3.7,-0.4,-0.7,2.1,13512438372.5045,26283711374.5654
9.8,-12,1,100.1,3.4,-0.2,-1.5,2.4,13518250558.9441,26293691181.7974
10.4,-12,1,100.1,1.8,-1.6,-1.5,3,13524062745.3838,26303670989.0293
10.4,-12,1,100.1,3.3,-0.5,-0.1,2.7,13529874931.8234,26313650796.2612
10.4,-11,0,96.7,3.2,-1.1,0.6,2.8,13535687118.263,26323630603.4931
10.15,-10,0,96.7,3.3,-1.8,1.5,3.5,13539658348.7728,26328610951.9745
9.9,-7,0,96.7,3.7,-1.6,2.2,4,13542922499.3234,26331671093.1157
9.8,-4,1,96.7,3.8,1.6,2,4.4,13546186649.8741,26334731234.2569
9.7,-1,1,96.7,4.1,-1.6,1.4,4.1,13549450800.4247,26337791375.3981
11.85,1,1,96.7,0.8,-4.6,-0.3,5.2,13552714950.9753,26340851516.5393
14,1,0.7,96.7,0.6,-5,-0.7,5.6,13555979101.5259,26343911657.6805
15.9,1,0.7,96.7,0.4,-5,-1.3,6.2,13559243252.0765,26346971798.8217
17.8,1,0.7,96.7,0.8,-4.6,0.4,6.4,13562507402.6271,26350031939.9629
18.9,1,1.3,96.7,0.1,-4,0.9,7.6,13565771553.1778,26353092081.1041
20,2,1.3,96.7,-1.1,-4.6,1.2,9.5,13569035703.7284,26356152222.2454
19.55,6,1.3,96.7,-1.3,-3.9,1.7,11.7,13572299854.279,26359212363.3866
19.1,11,1,96.7,-1.4,-0.2,3.3,12.2,13575564004.8296,26362272504.5278
17,14,1,96.7,-0.6,3.4,2.2,14.3,13578828155.3802,26365332645.669
14.9,8,1,96.7,-1,3.9,1.6,10.4,13582092305.9308,26368392786.8102
12.3,7,0.3,96.7,-4.2,4.4,2.9,4.2,13585356456.4815,26371452927.9514
9.7,6,0.3,96.7,-3.9,4.9,2.2,4.6,13588620607.0321,26374513069.0926
9.35,5,0.3,96.7,-3.2,5.1,2,4.7,13591884757.5827,26377573210.2338
9,6,0.3,96.7,-3.1,5,2.3,5,13595148908.1333,26380633351.375
8.75,6,0.3,96.7,-3.3,4.4,2.3,6,13598413058.6839,26383693492.5162
8.5,7,0.3,96.7,-3,-3,3.2,7.4,13601677209.2346,26386753633.6574
8.95,4,0.3,96.7,-2.4,-5.3,2.5,5.9,13604941359.7852,26389813774.7986
9.4,2,0.3,96.7,-3,-5.7,1.9,4.8,13608205510.3358,26392873915.9398
9.25,1,0.3,96.7,-3.1,-5.7,2.7,3.8,13611469660.8864,26395934057.081
9.1,2,0.3,97.4,-3.4,-5.1,2.9,5.2,13614733811.437,26398994198.2222
9.25,3,0.3,97.4,-3.6,-5.1,2.5,5.7,13615283787.4971,26399979138.997
9.4,4,0.3,97.4,-3.1,-5.2,2.6,5.5,13614692576.5556,26400091552.3451
9.05,5,0,97.4,-3.7,-4.7,2.8,5.2,13614101365.614,26400203965.6931
8.7,6,0,97.4,-4.4,-3.9,3.4,5.6,13613510154.6724,26400316379.0412
10.5,5,0,97.4,-4,4,0.6,6.7,13612918943.7309,26400428792.3892
12.3,5,1.3,97.4,0.1,5,-2.1,6.5,13612327732.7893,26400541205.7372
14.7,3,1.3,97.4,3.7,4.8,-3,5.4,13611736521.8477,26400653619.0853
17.1,-1,1.3,97.4,-0.2,0,-1.5,5.5,13611145310.9062,26400766032.4333
18.4,2,0.7,97.4,-1.4,-6.1,2.2,3.9,13610554099.9646,26400878445.7814
19.7,5,0.7,97.4,-2.4,-5.5,1.6,6.2,13609962889.023,26400990859.1294
19.2,2,0.7,97.4,-2.4,-3.7,-0.4,6.6,13609371678.0815,26401103272.4775
18.7,-3,1,97.4,-2,1.1,-4,6.7,13608780467.1399,26401215685.8255
18.05,-9,1,97.4,-3.3,1.5,-2.6,6.4,13608189256.1983,26401328099.1736
17.4,-5,1,97.4,-2.1,1.1,-3.4,7.1,13607598045.2568,26401440512.5216
